Size,AverageComparisons,nlogn
30,4,147.207
40,4.3,212.877
50,4.6,282.193
60,4.7,354.413
70,5.3,429.05
80,5,505.754
90,5.7,584.267
100,5.1,664.386
110,6.2,745.95
120,5.7,828.827
130,5.5,912.908
140,6.6,998.1
150,6.3,1084.32
160,6,1171.51
170,6.7,1259.6
180,6.5,1348.53
190,6.4,1438.27
200,7.2,1528.77
210,7.1,1619.99
220,6.8,1711.9
230,7.2,1804.46
240,7.1,1897.65
250,6.6,1991.45
260,7.4,2085.82
270,6.6,2180.74
280,6.5,2276.2
290,7.5,2372.17
300,6.2,2468.65
310,7.9,2565.6
320,7.6,2663.02
330,8.1,2760.89
340,7.4,2859.19
350,6.8,2957.92
360,7,3057.07
370,8.1,3156.61
380,7.3,3256.55
390,7.7,3356.86
400,7.6,3457.54
410,7.9,3558.59
420,6.4,3659.98
430,7.6,3761.72
440,7.2,3863.8
450,8.5,3966.2
460,8.6,4068.93
470,8,4171.96
480,7.5,4275.31
490,7.2,4378.95
500,7.4,4482.89
510,7.6,4587.12
520,8.5,4691.63
530,7.7,4796.42
540,8.8,4901.48
550,7.9,5006.81
560,7.9,5112.4
570,8.5,5218.25
580,8.9,5324.35
590,8,5430.7
600,7.7,5537.29
610,7.8,5644.13
620,8.7,5751.2
630,8.2,5858.5
640,8.9,5966.03
650,9,6073.79
660,8.7,6181.77
670,8.5,6289.97
680,7.9,6398.39
690,7.2,6507.01
700,8.4,6615.85
710,9,6724.89
720,7.9,6834.13
730,7.9,6943.58
740,8.3,7053.22
750,9.3,7163.06
760,9.2,7273.09
770,8.3,7383.31
780,7.7,7493.72
790,9.4,7604.31
800,7.8,7715.08
810,9,7826.04
820,8.3,7937.17
830,9.1,8048.48
840,8.3,8159.97
850,8.2,8271.62
860,9.5,8383.45
870,8,8495.44
880,8.4,8607.6
890,9.4,8719.92
900,9.5,8832.4
910,8.7,8945.05
920,8.4,9057.85
930,8.7,9170.81
940,9.1,9283.93
950,9.1,9397.19
960,9.1,9510.61
970,8.4,9624.19
980,7.8,9737.91
990,9.3,9851.77
1000,8.6,9965.78
