Size,AverageComparisons,nlogn
30,435,147.207
40,780,212.877
50,1225,282.193
60,1770,354.413
70,2415,429.05
80,3160,505.754
90,4005,584.267
100,4950,664.386
110,5995,745.95
120,7140,828.827
130,8385,912.908
140,9730,998.1
150,11175,1084.32
160,12720,1171.51
170,14365,1259.6
180,16110,1348.53
190,17955,1438.27
200,19900,1528.77
210,21945,1619.99
220,24090,1711.9
230,26335,1804.46
240,28680,1897.65
250,31125,1991.45
260,33670,2085.82
270,36315,2180.74
280,39060,2276.2
290,41905,2372.17
300,44850,2468.65
310,47895,2565.6
320,51040,2663.02
330,54285,2760.89
340,57630,2859.19
350,61075,2957.92
360,64620,3057.07
370,68265,3156.61
380,72010,3256.55
390,75855,3356.86
400,79800,3457.54
410,83845,3558.59
420,87990,3659.98
430,92235,3761.72
440,96580,3863.8
450,101025,3966.2
460,105570,4068.93
470,110215,4171.96
480,114960,4275.31
490,119805,4378.95
500,124750,4482.89
510,129795,4587.12
520,134940,4691.63
530,140185,4796.42
540,145530,4901.48
550,150975,5006.81
560,156520,5112.4
570,162165,5218.25
580,167910,5324.35
590,173755,5430.7
600,179700,5537.29
610,185745,5644.13
620,191890,5751.2
630,198135,5858.5
640,204480,5966.03
650,210925,6073.79
660,217470,6181.77
670,224115,6289.97
680,230860,6398.39
690,237705,6507.01
700,244650,6615.85
710,251695,6724.89
720,258840,6834.13
730,266085,6943.58
740,273430,7053.22
750,280875,7163.06
760,288420,7273.09
770,296065,7383.31
780,303810,7493.72
790,311655,7604.31
800,319600,7715.08
810,327645,7826.04
820,335790,7937.17
830,344035,8048.48
840,352380,8159.97
850,360825,8271.62
860,369370,8383.45
870,378015,8495.44
880,386760,8607.6
890,395605,8719.92
900,404550,8832.4
910,413595,8945.05
920,422740,9057.85
930,431985,9170.81
940,441330,9283.93
950,450775,9397.19
960,460320,9510.61
970,469965,9624.19
980,479710,9737.91
990,489555,9851.77
1000,499500,9965.78
