Size,AverageComparisons,nlogn
30,58,147.207
40,78,212.877
50,98,282.193
60,118,354.413
70,138,429.05
80,158,505.754
90,178,584.267
100,198,664.386
110,218,745.95
120,238,828.827
130,258,912.908
140,278,998.1
150,298,1084.32
160,318,1171.51
170,338,1259.6
180,358,1348.53
190,378,1438.27
200,398,1528.77
210,418,1619.99
220,438,1711.9
230,458,1804.46
240,478,1897.65
250,498,1991.45
260,518,2085.82
270,538,2180.74
280,558,2276.2
290,578,2372.17
300,598,2468.65
310,618,2565.6
320,638,2663.02
330,658,2760.89
340,678,2859.19
350,698,2957.92
360,718,3057.07
370,738,3156.61
380,758,3256.55
390,778,3356.86
400,798,3457.54
410,818,3558.59
420,838,3659.98
430,858,3761.72
440,878,3863.8
450,898,3966.2
460,918,4068.93
470,938,4171.96
480,958,4275.31
490,978,4378.95
500,998,4482.89
510,1018,4587.12
520,1038,4691.63
530,1058,4796.42
540,1078,4901.48
550,1098,5006.81
560,1118,5112.4
570,1138,5218.25
580,1158,5324.35
590,1178,5430.7
600,1198,5537.29
610,1218,5644.13
620,1238,5751.2
630,1258,5858.5
640,1278,5966.03
650,1298,6073.79
660,1318,6181.77
670,1338,6289.97
680,1358,6398.39
690,1378,6507.01
700,1398,6615.85
710,1418,6724.89
720,1438,6834.13
730,1458,6943.58
740,1478,7053.22
750,1498,7163.06
760,1518,7273.09
770,1538,7383.31
780,1558,7493.72
790,1578,7604.31
800,1598,7715.08
810,1618,7826.04
820,1638,7937.17
830,1658,8048.48
840,1678,8159.97
850,1698,8271.62
860,1718,8383.45
870,1738,8495.44
880,1758,8607.6
890,1778,8719.92
900,1798,8832.4
910,1818,8945.05
920,1838,9057.85
930,1858,9170.81
940,1878,9283.93
950,1898,9397.19
960,1918,9510.61
970,1938,9624.19
980,1958,9737.91
990,1978,9851.77
1000,1998,9965.78
