Size,AverageComparisons,nlogn
30,201.8,147.207
40,306.7,212.877
50,415.9,282.193
60,529.1,354.413
70,646.4,429.05
80,769.1,505.754
90,898.8,584.267
100,1028.3,664.386
110,1154.4,745.95
120,1285.7,828.827
130,1427.9,912.908
140,1571.3,998.1
150,1714.5,1084.32
160,1854.4,1171.51
170,2008.4,1259.6
180,2154.9,1348.53
190,2300.9,1438.27
200,2453.6,1528.77
210,2599.1,1619.99
220,2759.7,1711.9
230,2904,1804.46
240,3061.9,1897.65
250,3212.5,1991.45
260,3373.8,2085.82
270,3534.9,2180.74
280,3699.2,2276.2
290,3860.2,2372.17
300,4017,2468.65
310,4180.4,2565.6
320,4356.7,2663.02
330,4519.7,2760.89
340,4688.5,2859.19
350,4857.2,2957.92
360,5026.1,3057.07
370,5209.9,3156.61
380,5365.1,3256.55
390,5532.5,3356.86
400,5709.9,3457.54
410,5883.1,3558.59
420,6040,3659.98
430,6210.1,3761.72
440,6392.9,3863.8
450,6568.3,3966.2
460,6735.4,4068.93
470,6913.9,4171.96
480,7081.1,4275.31
490,7256,4378.95
500,7410.8,4482.89
510,7607.5,4587.12
520,7776.5,4691.63
530,7958.8,4796.42
540,8143.8,4901.48
550,8340.2,5006.81
560,8519.1,5112.4
570,8696.7,5218.25
580,8884.3,5324.35
590,9071.9,5430.7
600,9245.4,5537.29
610,9425.4,5644.13
620,9612.6,5751.2
630,9801.5,5858.5
640,9988.2,5966.03
650,10189.5,6073.79
660,10368,6181.77
670,10547.8,6289.97
680,10725.8,6398.39
690,10929.8,6507.01
700,11110.1,6615.85
710,11284.9,6724.89
720,11478.3,6834.13
730,11686.7,6943.58
740,11866.9,7053.22
750,12045.9,7163.06
760,12264.9,7273.09
770,12424.4,7383.31
780,12636,7493.72
790,12815,7604.31
800,12996.4,7715.08
810,13203.4,7826.04
820,13383.5,7937.17
830,13573.4,8048.48
840,13779.2,8159.97
850,13952.4,8271.62
860,14161.4,8383.45
870,14366.3,8495.44
880,14545,8607.6
890,14722.3,8719.92
900,14916.9,8832.4
910,15102.1,8945.05
920,15312,9057.85
930,15520.5,9170.81
940,15701.3,9283.93
950,15886.7,9397.19
960,16068.7,9510.61
970,16279.5,9624.19
980,16461.2,9737.91
990,16650.5,9851.77
1000,16845.5,9965.78
