Size,AverageComparisons,nlogn
30,233.3,147.207
40,425.7,212.877
50,653.6,282.193
60,922.7,354.413
70,1270.3,429.05
80,1652.6,505.754
90,2135.7,584.267
100,2558.9,664.386
110,3034.2,745.95
120,3583,828.827
130,4277.6,912.908
140,5088.5,998.1
150,5764.9,1084.32
160,6435.9,1171.51
170,7370.4,1259.6
180,8211.5,1348.53
190,9238.2,1438.27
200,10430.9,1528.77
210,11142.3,1619.99
220,12130,1711.9
230,13718.9,1804.46
240,14788.3,1897.65
250,15742,1991.45
260,17247,2085.82
270,18818.3,2180.74
280,19768.7,2276.2
290,21182.9,2372.17
300,22704.8,2468.65
310,25044.7,2565.6
320,25655.9,2663.02
330,27658,2760.89
340,29458.4,2859.19
350,30415.1,2957.92
360,32183.7,3057.07
370,34414.5,3156.61
380,35907.5,3256.55
390,37655.4,3356.86
400,40247.1,3457.54
410,42047.3,3558.59
420,44316.1,3659.98
430,46972.6,3761.72
440,48170.2,3863.8
450,50819.1,3966.2
460,53090,4068.93
470,55717.9,4171.96
480,58228.1,4275.31
490,61627.5,4378.95
500,62831.6,4482.89
510,65126.4,4587.12
520,67674.4,4691.63
530,69229.3,4796.42
540,73309.3,4901.48
550,76388.4,5006.81
560,78309.2,5112.4
570,81580.6,5218.25
580,84978.4,5324.35
590,87961.3,5430.7
600,89291.9,5537.29
610,92751.8,5644.13
620,95851.2,5751.2
630,98055.9,5858.5
640,103042,5966.03
650,106685,6073.79
660,109843,6181.77
670,110653,6289.97
680,117409,6398.39
690,120523,6507.01
700,124495,6615.85
710,125621,6724.89
720,130019,6834.13
730,132316,6943.58
740,137884,7053.22
750,140624,7163.06
760,144236,7273.09
770,146171,7383.31
780,153563,7493.72
790,156974,7604.31
800,161658,7715.08
810,165510,7826.04
820,169334,7937.17
830,170098,8048.48
840,177050,8159.97
850,182000,8271.62
860,182754,8383.45
870,189409,8495.44
880,192902,8607.6
890,196835,8719.92
900,203212,8832.4
910,208702,8945.05
920,213197,9057.85
930,218776,9170.81
940,220594,9283.93
950,230136,9397.19
960,232119,9510.61
970,234515,9624.19
980,239747,9737.91
990,245460,9851.77
1000,250695,9965.78
