Size,AverageComparisons,nlogn
30,111,147.207
40,165.6,212.877
50,222.7,282.193
60,279,354.413
70,343.7,429.05
80,408.5,505.754
90,475.4,584.267
100,538.3,664.386
110,610.3,745.95
120,679.6,828.827
130,751.3,912.908
140,826,998.1
150,901.6,1084.32
160,976.1,1171.51
170,1048,1259.6
180,1124.8,1348.53
190,1203.8,1438.27
200,1281.8,1528.77
210,1358.5,1619.99
220,1440.1,1711.9
230,1516.3,1804.46
240,1599.3,1897.65
250,1679.4,1991.45
260,1759.9,2085.82
270,1845.3,2180.74
280,1930.4,2276.2
290,2012,2372.17
300,2097.4,2468.65
310,2181.8,2565.6
320,2262.7,2663.02
330,2353,2760.89
340,2446.2,2859.19
350,2531.1,2957.92
360,2609.5,3057.07
370,2694.8,3156.61
380,2785.6,3256.55
390,2873,3356.86
400,2958.5,3457.54
410,3049.7,3558.59
420,3130.2,3659.98
430,3211.7,3761.72
440,3322.8,3863.8
450,3402,3966.2
460,3506.7,4068.93
470,3585.7,4171.96
480,3674.9,4275.31
490,3768.9,4378.95
500,3850.2,4482.89
510,3947.5,4587.12
520,4036.8,4691.63
530,4132.7,4796.42
540,4222.7,4901.48
550,4328.8,5006.81
560,4423.7,5112.4
570,4504.5,5218.25
580,4602.7,5324.35
590,4702,5430.7
600,4792,5537.29
610,4883.2,5644.13
620,4980.4,5751.2
630,5076.6,5858.5
640,5173.3,5966.03
650,5267.2,6073.79
660,5368.3,6181.77
670,5455.2,6289.97
680,5551.4,6398.39
690,5650.3,6507.01
700,5743.1,6615.85
710,5838.4,6724.89
720,5938.1,6834.13
730,6037.7,6943.58
740,6143.3,7053.22
750,6222.5,7163.06
760,6328.9,7273.09
770,6416.6,7383.31
780,6523.7,7493.72
790,6625.5,7604.31
800,6711.3,7715.08
810,6822.1,7826.04
820,6916.6,7937.17
830,7021.1,8048.48
840,7109.7,8159.97
850,7215.8,8271.62
860,7309.9,8383.45
870,7408.4,8495.44
880,7509.9,8607.6
890,7611.6,8719.92
900,7703.4,8832.4
910,7805.4,8945.05
920,7911.5,9057.85
930,8011.3,9170.81
940,8100.4,9283.93
950,8215.9,9397.19
960,8317.3,9510.61
970,8404.9,9624.19
980,8517.6,9737.91
990,8608.4,9851.77
1000,8711.7,9965.78
