Size,AverageComparisons,nlogn
30,130.4,147.207
40,198.6,212.877
50,266.9,282.193
60,345.9,354.413
70,397.3,429.05
80,511.6,505.754
90,550.6,584.267
100,633.3,664.386
110,754.1,745.95
120,846.9,828.827
130,871.1,912.908
140,1005.2,998.1
150,1045,1084.32
160,1203,1171.51
170,1262,1259.6
180,1349.4,1348.53
190,1443,1438.27
200,1499.8,1528.77
210,1679.2,1619.99
220,1766.1,1711.9
230,1911.3,1804.46
240,1963.5,1897.65
250,2133.3,1991.45
260,2272,2085.82
270,2267.1,2180.74
280,2290.1,2276.2
290,2546.8,2372.17
300,2517.2,2468.65
310,2702.6,2565.6
320,2850.9,2663.02
330,2802.1,2760.89
340,3035.6,2859.19
350,3160.8,2957.92
360,3193.4,3057.07
370,3285.8,3156.61
380,3542.8,3256.55
390,3556.2,3356.86
400,3674.3,3457.54
410,3914.2,3558.59
420,3953.1,3659.98
430,4067.7,3761.72
440,4044,3863.8
450,4186.3,3966.2
460,4557.4,4068.93
470,4346.9,4171.96
480,4520.7,4275.31
490,4737.6,4378.95
500,4812,4482.89
510,4909.3,4587.12
520,5099.6,4691.63
530,5112.1,4796.42
540,5407.3,4901.48
550,5404.9,5006.81
560,5508.2,5112.4
570,5752.8,5218.25
580,5690.4,5324.35
590,5921.5,5430.7
600,5940.6,5537.29
610,6304.1,5644.13
620,6341,5751.2
630,6544.9,5858.5
640,6607,5966.03
650,6673.9,6073.79
660,6934.2,6181.77
670,6754,6289.97
680,7108.5,6398.39
690,6980.7,6507.01
700,7029.4,6615.85
710,7245.8,6724.89
720,7303,6834.13
730,7494.4,6943.58
740,7809.6,7053.22
750,7771,7163.06
760,7737,7273.09
770,8125.9,7383.31
780,7842.2,7493.72
790,8328.9,7604.31
800,8273.2,7715.08
810,8321.8,7826.04
820,8980.7,7937.17
830,9022.1,8048.48
840,8954.2,8159.97
850,9237,8271.62
860,8995.6,8383.45
870,9341.5,8495.44
880,9319.1,8607.6
890,9893.7,8719.92
900,9329.8,8832.4
910,9909.4,8945.05
920,10114,9057.85
930,10106.6,9170.81
940,10404.5,9283.93
950,10323.1,9397.19
960,10357.7,9510.61
970,10754.1,9624.19
980,10598.4,9737.91
990,10758.1,9851.77
1000,11088.1,9965.78
